epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1255.03,1.58202,4.42929,1.08147,0.69289,0.1,0.11533,0.08363,1.53623,3.96081,1.09959,2.6779e-05,2.6779e-05,2.6779e-05
87,1270.19,1.61137,4.36473,1.11565,0.69289,0.1,0.11533,0.08363,1.53623,3.96081,1.09959,2.63764e-05,2.63764e-05,2.63764e-05
88,1285.33,1.68694,4.43672,1.13091,0.70117,0.09802,0.11606,0.08438,1.53542,3.96098,1.0998,2.59738e-05,2.59738e-05,2.59738e-05
89,1300.21,1.65335,4.32949,1.10924,0.70117,0.09802,0.11606,0.08438,1.53542,3.96098,1.0998,2.55712e-05,2.55712e-05,2.55712e-05
90,1315.81,1.61909,4.26826,1.11679,0.71946,0.09428,0.11883,0.08686,1.5355,3.95394,1.09987,2.51686e-05,2.51686e-05,2.51686e-05
91,1330.98,1.7111,4.48591,1.11648,0.71946,0.09428,0.11883,0.08686,1.5355,3.95394,1.09987,2.4766e-05,2.4766e-05,2.4766e-05
92,1346.59,1.5503,4.3352,1.08762,0.72788,0.09601,0.12107,0.08853,1.53266,3.9521,1.09964,2.43634e-05,2.43634e-05,2.43634e-05
93,1362.85,1.6139,4.49292,1.10186,0.72788,0.09601,0.12107,0.08853,1.53266,3.9521,1.09964,2.39608e-05,2.39608e-05,2.39608e-05
94,1378.27,1.63098,4.26212,1.12761,0.74227,0.09625,0.12245,0.08952,1.5317,3.94125,1.09866,2.35582e-05,2.35582e-05,2.35582e-05
95,1393.71,1.65541,4.23339,1.12777,0.74227,0.09625,0.12245,0.08952,1.5317,3.94125,1.09866,2.31556e-05,2.31556e-05,2.31556e-05
