epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1225.6,1.72624,5.2814,1.16737,0.00691,0.06179,0.01942,0.01322,1.63688,5.22538,1.20509,4.73116e-05,4.73116e-05,4.73116e-05
70,1247.34,1.80271,5.28563,1.21256,0.57314,0.02688,0.02113,0.0143,1.63691,5.18286,1.20253,4.71103e-05,4.71103e-05,4.71103e-05
71,1266.84,1.74422,5.33976,1.21655,0.57314,0.02688,0.02113,0.0143,1.63691,5.18286,1.20253,4.6909e-05,4.6909e-05,4.6909e-05
72,1287.74,1.73714,5.26753,1.2116,0.62267,0.02662,0.02414,0.01661,1.63627,5.14426,1.20125,4.67077e-05,4.67077e-05,4.67077e-05
73,1308.06,1.72307,5.3629,1.2129,0.62267,0.02662,0.02414,0.01661,1.63627,5.14426,1.20125,4.65064e-05,4.65064e-05,4.65064e-05
74,1329.85,1.74287,5.30077,1.23264,0.65218,0.03077,0.02762,0.01897,1.63643,5.107,1.20166,4.63051e-05,4.63051e-05,4.63051e-05
75,1348.92,1.69725,5.25698,1.20226,0.65218,0.03077,0.02762,0.01897,1.63643,5.107,1.20166,4.61038e-05,4.61038e-05,4.61038e-05
76,1371.31,1.72132,5.18539,1.2103,0.66634,0.03093,0.02923,0.0199,1.63806,5.06477,1.19951,4.59025e-05,4.59025e-05,4.59025e-05
77,1392.58,1.69934,5.17668,1.20511,0.66634,0.03093,0.02923,0.0199,1.63806,5.06477,1.19951,4.57012e-05,4.57012e-05,4.57012e-05
78,1413.89,1.76105,5.3193,1.20166,0.69211,0.03055,0.03067,0.02108,1.63834,5.0264,1.19849,4.54999e-05,4.54999e-05,4.54999e-05
79,1435.36,1.72495,5.22719,1.19944,0.69211,0.03055,0.03067,0.02108,1.63834,5.0264,1.19849,4.52986e-05,4.52986e-05,4.52986e-05
80,1456.05,1.64543,5.11846,1.16771,0.72428,0.02965,0.03455,0.02347,1.63797,4.98837,1.19609,4.50973e-05,4.50973e-05,4.50973e-05
81,1476.79,1.70788,5.12584,1.20685,0.72428,0.02965,0.03455,0.02347,1.63797,4.98837,1.19609,4.4896e-05,4.4896e-05,4.4896e-05
82,1496.7,1.77265,5.16593,1.1908,0.70482,0.0329,0.03566,0.02463,1.63904,4.94168,1.1927,4.46947e-05,4.46947e-05,4.46947e-05
83,1516.32,1.76837,5.22145,1.2017,0.70482,0.0329,0.03566,0.02463,1.63904,4.94168,1.1927,4.44934e-05,4.44934e-05,4.44934e-05
